Month,100 metres,400 metres,10000 metres
1940-12,21.718,19.37,12.349
1941-01,21.718,19.37,12.349
1941-02,21.718,19.37,12.349
1941-03,21.718,19.37,12.349
1941-04,21.718,19.37,12.349
1941-05,21.718,19.37,12.349
1941-06,21.718,19.37,12.349
1941-07,21.718,19.37,12.349
1941-08,21.718,19.37,12.349
1941-09,21.718,19.37,12.349
1941-10,21.718,19.37,12.349
1941-11,21.718,19.37,12.349
1941-12,21.718,19.37,12.349
1942-01,21.718,19.37,12.349
1942-02,21.718,19.37,12.349
1942-03,21.718,19.37,12.349
1942-04,21.718,19.37,12.349
1942-05,21.718,19.37,12.349
1942-06,21.718,19.37,12.349
1942-07,21.718,19.37,12.349
1942-08,21.718,19.37,12.349
1942-09,21.718,19.37,12.349
1942-10,21.718,19.37,12.349
1942-11,21.718,19.37,12.349
1942-12,21.718,19.37,12.349
1943-01,21.718,19.37,12.349
1943-02,21.718,19.37,12.349
1943-03,21.718,19.37,12.349
1943-04,21.718,19.37,12.349
1943-05,21.718,19.37,12.349
1943-06,21.718,19.37,12.349
1943-07,21.718,19.37,12.349
1943-08,21.718,19.37,12.349
1943-09,21.718,19.37,12.349
1943-10,21.718,19.37,12.349
1943-11,21.718,19.37,12.349
1943-12,21.718,19.37,12.349
1944-01,21.718,19.37,12.349
1944-02,21.718,19.37,12.349
1944-03,21.718,19.37,12.349
1944-04,21.718,19.37,12.349
1944-05,21.718,19.37,12.349
1944-06,21.718,19.37,12.349
1944-07,21.718,19.37,12.349
1944-08,21.718,19.37,12.349
1944-09,21.718,19.37,12.349
1944-10,21.718,19.37,12.349
1944-11,21.718,19.37,12.349
1944-12,21.718,19.37,12.349
1945-01,21.718,19.37,12.349
1945-02,21.718,19.37,12.349
1945-03,21.718,19.37,12.349
1945-04,21.718,19.37,12.349
1945-05,21.718,19.37,12.349
1945-06,21.718,19.37,12.349
1945-07,21.718,19.37,12.349
1945-08,21.718,19.37,12.349
1945-09,21.718,19.37,12.349
1945-10,21.718,19.37,12.349
1945-11,21.718,19.37,12.349
1945-12,21.718,19.37,12.349
1946-01,21.718,19.37,12.349
1946-02,21.718,19.37,12.349
1946-03,21.718,19.37,12.349
1946-04,21.718,19.37,12.349
1946-05,21.718,19.37,12.349
1946-06,21.718,19.37,12.349
1946-07,21.718,19.37,12.349
1946-08,21.718,19.37,12.349
1946-09,21.718,19.37,12.349
1946-10,21.718,19.37,12.349
1946-11,21.718,19.37,12.349
1946-12,21.718,19.37,12.349
1947-01,21.718,19.37,12.349
1947-02,21.718,19.37,12.349
1947-03,21.718,19.37,12.349
1947-04,21.718,19.37,12.349
1947-05,21.718,19.37,12.349
1947-06,21.718,19.37,12.349
1947-07,21.718,19.37,12.349
1947-08,21.718,19.37,12.349
1947-09,21.718,19.37,12.349
1947-10,21.718,19.37,12.349
1947-11,21.718,19.37,12.349
1947-12,21.718,19.37,12.349
1948-01,21.718,19.37,12.349
1948-02,21.718,19.37,12.349
1948-03,21.718,19.37,12.349
1948-04,21.718,19.37,12.349
1948-05,21.718,19.37,12.349
1948-06,21.718,19.37,12.349
1948-07,21.718,19.37,12.43
1948-08,21.718,19.37,12.43
1948-09,21.718,19.37,12.43
1948-10,21.718,19.37,12.43
1948-11,21.718,19.37,12.43
1948-12,21.718,19.37,12.43
1949-01,21.718,19.37,12.43
1949-02,21.718,19.37,12.43
1949-03,21.718,19.37,12.43
1949-04,21.718,19.37,12.43
1949-05,21.718,19.37,12.43
1949-06,21.718,19.37,12.43
1949-07,21.718,19.37,12.43
1949-08,21.718,19.37,12.43
1949-09,21.718,19.37,12.43
1949-10,21.718,19.37,12.43
1949-11,21.718,19.37,12.43
1949-12,21.718,19.37,12.43
1950-01,21.718,19.37,12.43
1950-02,21.718,19.37,12.43
1950-03,21.718,19.37,12.43
1950-04,21.718,19.37,12.43
1950-05,21.718,19.37,12.43
1950-06,21.718,19.37,12.43
1950-07,21.718,19.37,12.43
1950-08,21.718,19.37,12.43
1950-09,21.718,19.37,12.43
1950-10,21.718,19.37,12.43
1950-11,21.718,19.37,12.43
1950-12,21.718,19.37,12.43
1951-01,21.718,19.37,12.43
1951-02,21.718,19.37,12.43
1951-03,21.718,19.37,12.43
1951-04,21.718,19.37,12.43
1951-05,21.718,19.37,12.43
1951-06,21.718,19.37,12.43
1951-07,21.718,19.37,12.43
1951-08,21.718,19.37,12.43
1951-09,21.718,19.37,12.43
1951-10,21.718,19.37,12.43
1951-11,21.718,19.37,12.43
1951-12,21.718,19.37,12.43
1952-01,21.718,19.37,12.43
1952-02,21.718,19.37,12.43
1952-03,21.718,19.37,12.43
1952-04,21.718,19.37,12.43
1952-05,21.718,19.37,12.43
1952-06,21.718,19.37,12.43
1952-07,21.718,19.49,12.732
1952-08,21.718,19.49,12.732
1952-09,21.718,19.49,12.732
1952-10,21.718,19.49,12.732
1952-11,21.718,19.49,12.732
1952-12,21.718,19.49,12.732
1953-01,21.718,19.49,12.732
1953-02,21.718,19.49,12.732
1953-03,21.718,19.49,12.732
1953-04,21.718,19.49,12.732
1953-05,21.718,19.49,12.732
1953-06,21.718,19.49,12.732
1953-07,21.718,19.49,12.732
1953-08,21.718,19.49,12.732
1953-09,21.718,19.49,12.732
1953-10,21.718,19.49,12.732
1953-11,21.718,19.49,12.732
1953-12,21.718,19.49,12.732
1954-01,21.718,19.49,12.732
1954-02,21.718,19.49,12.732
1954-03,21.718,19.49,12.732
1954-04,21.718,19.49,12.732
1954-05,21.718,19.49,12.732
1954-06,21.718,19.49,12.732
